Symbol,Date,Close
TSLA,1/5/2018 16:00:00,21.11
TSLA,1/8/2018 16:00:00,22.43
TSLA,1/9/2018 16:00:00,22.25
TSLA,1/10/2018 16:00:00,22.32
TSLA,1/11/2018 16:00:00,22.53
TSLA,1/12/2018 16:00:00,22.41
TSLA,1/16/2018 16:00:00,22.67
TSLA,1/17/2018 16:00:00,23.14
TSLA,1/18/2018 16:00:00,22.97
TSLA,1/19/2018 16:00:00,23.33
TSLA,1/22/2018 16:00:00,23.44
TSLA,1/23/2018 16:00:00,23.52
TSLA,1/24/2018 16:00:00,23.06
TSLA,1/25/2018 16:00:00,22.51
TSLA,1/26/2018 16:00:00,22.86
TSLA,1/29/2018 16:00:00,23.3
TSLA,1/30/2018 16:00:00,23.05
TSLA,1/31/2018 16:00:00,23.62
TSLA,2/1/2018 16:00:00,23.28
TSLA,2/2/2018 16:00:00,22.92
TSLA,2/5/2018 16:00:00,22.21
TSLA,2/6/2018 16:00:00,22.26
TSLA,2/7/2018 16:00:00,23
TSLA,2/8/2018 16:00:00,21.02
TSLA,2/9/2018 16:00:00,20.69
TSLA,2/12/2018 16:00:00,21.05
TSLA,2/13/2018 16:00:00,21.58
TSLA,2/14/2018 16:00:00,21.49
TSLA,2/15/2018 16:00:00,22.27
TSLA,2/16/2018 16:00:00,22.37
TSLA,2/20/2018 16:00:00,22.32
TSLA,2/21/2018 16:00:00,22.22
TSLA,2/22/2018 16:00:00,23.08
TSLA,2/23/2018 16:00:00,23.47
TSLA,2/26/2018 16:00:00,23.83
TSLA,2/27/2018 16:00:00,23.4
TSLA,2/28/2018 16:00:00,22.87
TSLA,3/1/2018 16:00:00,22.06
TSLA,3/2/2018 16:00:00,22.34
TSLA,3/5/2018 16:00:00,22.22
TSLA,3/6/2018 16:00:00,21.88
TSLA,3/7/2018 16:00:00,22.15
TSLA,3/8/2018 16:00:00,21.94
TSLA,3/9/2018 16:00:00,21.81
TSLA,3/12/2018 16:00:00,23.03
TSLA,3/13/2018 16:00:00,22.79
TSLA,3/14/2018 16:00:00,21.78
TSLA,3/15/2018 16:00:00,21.71
TSLA,3/16/2018 16:00:00,21.42
TSLA,3/19/2018 16:00:00,20.9
TSLA,3/20/2018 16:00:00,20.7
TSLA,3/21/2018 16:00:00,21.1
TSLA,3/22/2018 16:00:00,20.61
TSLA,3/23/2018 16:00:00,20.1
TSLA,3/26/2018 16:00:00,20.28
TSLA,3/27/2018 16:00:00,18.61
TSLA,3/28/2018 16:00:00,17.19
TSLA,3/29/2018 16:00:00,17.74
TSLA,4/2/2018 16:00:00,16.83
TSLA,4/3/2018 16:00:00,17.84
TSLA,4/4/2018 16:00:00,19.13
TSLA,4/5/2018 16:00:00,20.38
TSLA,4/6/2018 16:00:00,19.95
TSLA,4/9/2018 16:00:00,19.31
TSLA,4/10/2018 16:00:00,20.31
TSLA,4/11/2018 16:00:00,20.06
TSLA,4/12/2018 16:00:00,19.61
TSLA,4/13/2018 16:00:00,20.02
TSLA,4/16/2018 16:00:00,19.41
TSLA,4/17/2018 16:00:00,19.18
TSLA,4/18/2018 16:00:00,19.56
TSLA,4/19/2018 16:00:00,20.01
TSLA,4/20/2018 16:00:00,19.35
TSLA,4/23/2018 16:00:00,18.89
TSLA,4/24/2018 16:00:00,18.9
TSLA,4/25/2018 16:00:00,18.71
TSLA,4/26/2018 16:00:00,19.03
TSLA,4/27/2018 16:00:00,19.61
TSLA,4/30/2018 16:00:00,19.59
TSLA,5/1/2018 16:00:00,19.99
TSLA,5/2/2018 16:00:00,20.08
TSLA,5/3/2018 16:00:00,18.96
TSLA,5/4/2018 16:00:00,19.61
TSLA,5/7/2018 16:00:00,20.18
TSLA,5/8/2018 16:00:00,20.13
TSLA,5/9/2018 16:00:00,20.46
TSLA,5/10/2018 16:00:00,20.33
TSLA,5/11/2018 16:00:00,20.07
TSLA,5/14/2018 16:00:00,19.46
TSLA,5/15/2018 16:00:00,18.95
TSLA,5/16/2018 16:00:00,19.1
TSLA,5/17/2018 16:00:00,18.97
TSLA,5/18/2018 16:00:00,18.97
TSLA,5/21/2018 16:00:00,18.97
TSLA,5/22/2018 16:00:00,18.33
TSLA,5/23/2018 16:00:00,18.6
TSLA,5/24/2018 16:00:00,18.52
TSLA,5/25/2018 16:00:00,18.59
TSLA,5/29/2018 16:00:00,18.92
TSLA,5/30/2018 16:00:00,19.45
TSLA,5/31/2018 16:00:00,18.98
TSLA,6/1/2018 16:00:00,19.45
TSLA,6/4/2018 16:00:00,19.78
TSLA,6/5/2018 16:00:00,19.41
TSLA,6/6/2018 16:00:00,21.3
TSLA,6/7/2018 16:00:00,21.07
TSLA,6/8/2018 16:00:00,21.18
TSLA,6/11/2018 16:00:00,22.14
TSLA,6/12/2018 16:00:00,22.85
TSLA,6/13/2018 16:00:00,22.99
TSLA,6/14/2018 16:00:00,23.85
TSLA,6/15/2018 16:00:00,23.88
TSLA,6/18/2018 16:00:00,24.72
TSLA,6/19/2018 16:00:00,23.5
TSLA,6/20/2018 16:00:00,24.15
TSLA,6/21/2018 16:00:00,23.17
TSLA,6/22/2018 16:00:00,22.24
TSLA,6/25/2018 16:00:00,22.2
TSLA,6/26/2018 16:00:00,22.8
TSLA,6/27/2018 16:00:00,22.97
TSLA,6/28/2018 16:00:00,23.33
TSLA,6/29/2018 16:00:00,22.86
TSLA,7/2/2018 16:00:00,22.34
TSLA,7/3/2018 13:00:00,20.72
TSLA,7/5/2018 16:00:00,20.61
TSLA,7/6/2018 16:00:00,20.59
TSLA,7/9/2018 16:00:00,21.23
TSLA,7/10/2018 16:00:00,21.5
TSLA,7/11/2018 16:00:00,21.26
TSLA,7/12/2018 16:00:00,21.11
TSLA,7/13/2018 16:00:00,21.26
TSLA,7/16/2018 16:00:00,20.67
TSLA,7/17/2018 16:00:00,21.51
TSLA,7/18/2018 16:00:00,21.59
TSLA,7/19/2018 16:00:00,21.35
TSLA,7/20/2018 16:00:00,20.91
TSLA,7/23/2018 16:00:00,20.21
TSLA,7/24/2018 16:00:00,19.83
TSLA,7/25/2018 16:00:00,20.58
TSLA,7/26/2018 16:00:00,20.44
TSLA,7/27/2018 16:00:00,19.81
TSLA,7/30/2018 16:00:00,19.34
TSLA,7/31/2018 16:00:00,19.88
TSLA,8/1/2018 16:00:00,20.06
TSLA,8/2/2018 16:00:00,23.3
TSLA,8/3/2018 16:00:00,23.21
TSLA,8/6/2018 16:00:00,22.8
TSLA,8/7/2018 16:00:00,25.3
TSLA,8/8/2018 16:00:00,24.69
TSLA,8/9/2018 16:00:00,23.5
TSLA,8/10/2018 16:00:00,23.7
TSLA,8/13/2018 16:00:00,23.76
TSLA,8/14/2018 16:00:00,23.18
TSLA,8/15/2018 16:00:00,22.58
TSLA,8/16/2018 16:00:00,22.36
TSLA,8/17/2018 16:00:00,20.37
TSLA,8/20/2018 16:00:00,20.56
TSLA,8/21/2018 16:00:00,21.46
TSLA,8/22/2018 16:00:00,21.44
TSLA,8/23/2018 16:00:00,21.34
TSLA,8/24/2018 16:00:00,21.52
TSLA,8/27/2018 16:00:00,21.28
TSLA,8/28/2018 16:00:00,20.79
TSLA,8/29/2018 16:00:00,20.33
TSLA,8/30/2018 16:00:00,20.21
TSLA,8/31/2018 16:00:00,20.11
TSLA,9/4/2018 16:00:00,19.26
TSLA,9/5/2018 16:00:00,18.72
TSLA,9/6/2018 16:00:00,18.73
TSLA,9/7/2018 16:00:00,17.55
TSLA,9/10/2018 16:00:00,19.03
TSLA,9/11/2018 16:00:00,18.63
TSLA,9/12/2018 16:00:00,19.37
TSLA,9/13/2018 16:00:00,19.3
TSLA,9/14/2018 16:00:00,19.68
TSLA,9/17/2018 16:00:00,19.66
TSLA,9/18/2018 16:00:00,19
TSLA,9/19/2018 16:00:00,19.93
TSLA,9/20/2018 16:00:00,19.89
TSLA,9/21/2018 16:00:00,19.94
TSLA,9/24/2018 16:00:00,19.98
TSLA,9/25/2018 16:00:00,20.07
TSLA,9/26/2018 16:00:00,20.64
TSLA,9/27/2018 16:00:00,20.5
TSLA,9/28/2018 16:00:00,17.65
TSLA,10/1/2018 16:00:00,20.71
TSLA,10/2/2018 16:00:00,20.07
TSLA,10/3/2018 16:00:00,19.65
TSLA,10/4/2018 16:00:00,18.79
TSLA,10/5/2018 16:00:00,17.46
TSLA,10/8/2018 16:00:00,16.7
TSLA,10/9/2018 16:00:00,17.52
TSLA,10/10/2018 16:00:00,17.13
TSLA,10/11/2018 16:00:00,16.82
TSLA,10/12/2018 16:00:00,17.25
TSLA,10/15/2018 16:00:00,17.31
TSLA,10/16/2018 16:00:00,18.44
TSLA,10/17/2018 16:00:00,18.12
TSLA,10/18/2018 16:00:00,17.59
TSLA,10/19/2018 16:00:00,17.33
TSLA,10/22/2018 16:00:00,17.4
TSLA,10/23/2018 16:00:00,19.61
TSLA,10/24/2018 16:00:00,19.23
TSLA,10/25/2018 16:00:00,20.99
TSLA,10/26/2018 16:00:00,22.06
TSLA,10/29/2018 16:00:00,22.32
TSLA,10/30/2018 16:00:00,21.99
TSLA,10/31/2018 16:00:00,22.49
TSLA,11/1/2018 16:00:00,22.95
TSLA,11/2/2018 16:00:00,23.09
TSLA,11/5/2018 16:00:00,22.76
TSLA,11/6/2018 16:00:00,22.74
TSLA,11/7/2018 16:00:00,23.21
TSLA,11/8/2018 16:00:00,23.43
TSLA,11/9/2018 16:00:00,23.37
TSLA,11/12/2018 16:00:00,22.09
TSLA,11/13/2018 16:00:00,22.58
TSLA,11/14/2018 16:00:00,22.93
TSLA,11/15/2018 16:00:00,23.23
TSLA,11/16/2018 16:00:00,23.62
TSLA,11/19/2018 16:00:00,23.56
TSLA,11/20/2018 16:00:00,23.17
TSLA,11/21/2018 16:00:00,22.55
TSLA,11/23/2018 13:00:00,21.72
TSLA,11/26/2018 16:00:00,23.07
TSLA,11/27/2018 16:00:00,22.93
TSLA,11/28/2018 16:00:00,23.19
TSLA,11/29/2018 16:00:00,22.74
TSLA,11/30/2018 16:00:00,23.37
TSLA,12/3/2018 16:00:00,23.9
TSLA,12/4/2018 16:00:00,23.98
TSLA,12/6/2018 16:00:00,24.2
TSLA,12/7/2018 16:00:00,23.86
TSLA,12/10/2018 16:00:00,24.34
TSLA,12/11/2018 16:00:00,24.45
TSLA,12/12/2018 16:00:00,24.44
TSLA,12/13/2018 16:00:00,25.12
TSLA,12/14/2018 16:00:00,24.38
TSLA,12/17/2018 16:00:00,23.23
TSLA,12/18/2018 16:00:00,22.47
TSLA,12/19/2018 16:00:00,22.2
TSLA,12/20/2018 16:00:00,21.03
TSLA,12/21/2018 16:00:00,21.32
TSLA,12/24/2018 13:00:00,19.69
TSLA,12/26/2018 16:00:00,21.74
TSLA,12/27/2018 16:00:00,21.08
TSLA,12/28/2018 16:00:00,22.26
TSLA,12/31/2018 16:00:00,22.19
TSLA,1/2/2019 16:00:00,20.67
TSLA,1/3/2019 16:00:00,20.02
TSLA,1/4/2019 16:00:00,21.18